filename,mean_spectral_centroids,mean_spectral_rolloff,mean_spectral_bandwidth_2,sum_zero_crossings,mean_mfccs,mean_magnitude,mean_freq,mean_chroma_stft,mean_rms,mean_bank,mean_mel
101227.wav,2342.185696184302,3907.1625808189656,1743.9233566218243,4401,-8.68431568145752,0.00012935074273963084,11025.0,0.4004858434200287,0.11741791665554047,-9.510464948774338,-2.0519630824988413
101806.wav,1188.7636674662294,2180.5462015086205,1257.383564961927,1349,-8.832052230834961,0.0001670346788650338,11025.0,0.26924192905426025,0.18424297869205475,-8.274112931773166,-3.6107821008313787
100878.wav,2020.1611949781511,3535.1579337284484,1626.0698776776915,3473,-11.369373321533203,9.623856430655005e-05,11025.0,0.36887800693511963,0.08146132528781891,-9.746227913729363,-3.196822179574015
105729.wav,1449.5423268317008,2614.6753771551726,1370.8896922941144,2617,-9.441900253295898,0.00011603120995618491,11025.0,0.41267213225364685,0.09649062901735306,-10.141754404445088,-2.0214303750740226
103895.wav,1394.9686724183048,2772.338025323276,1468.5563256909636,1998,-8.689920425415039,5.896268331129119e-05,11025.0,0.5898993611335754,0.04789132997393608,-12.451098486032185,0.8073045169713597
107708.wav,772.9825422091633,1364.264547413793,1147.0189855497745,685,-6.288596153259277,9.031689104855929e-05,11025.0,0.6049463748931885,0.10370596498250961,-12.683450074333848,2.4065561525091272
100564.wav,1297.7681662330374,2358.5045123922414,1361.8473127877955,1887,-10.552221298217773,0.00013439833077046094,11025.0,0.4112106263637543,0.12348781526088715,-10.684037807694564,-1.2166562869702817
100387.wav,1521.7815232016844,2944.603650323276,1552.365971366507,2128,-7.515934467315674,9.099032987330942e-05,11025.0,0.5853995084762573,0.0640135258436203,-11.250966261841139,-1.7025452722610859
105134.wav,1207.0881531477685,2164.953192349138,1304.8631538080622,1560,-3.0949459075927734,0.00014618693490838877,11025.0,0.49954983592033386,0.1560174971818924,-9.314289240166941,3.3818662025944586
100877.wav,957.5862324520281,1414.508688038793,1161.886159073293,1303,-2.5273425579071045,9.046956990218591e-05,11025.0,0.5177772045135498,0.12935790419578552,-10.387271538262148,4.933800939099181
100604.wav,1422.2540857746185,2532.007677801724,1547.20170196958,2212,-2.2813944816589355,0.0001372714293375977,11025.0,0.44969356060028076,0.1361730843782425,-9.224591626342697,1.3361344577501097
101146.wav,1213.8908396736322,2368.157327586207,1477.1377265377844,1296,-4.7587103843688965,9.593112720427985e-05,11025.0,0.5340921878814697,0.09198588877916336,-10.540024030541746,0.6390734440406652
